CH1,CH2
4.28667,-0.0906667
4.28667,0.168
4.19067,0.16
4.28667,0.101333
4.28667,-0.0906667
4.38267,0.096
4.28667,-0.0906667
4.28667,0.00533333
4.19067,0.064
4.28667,0.168
4.28667,0.0693333
4.38267,0.168
4.28667,-0.0906667
4.28667,-0.0906667
4.19067,-0.186667
4.28667,-0.0906667
4.28667,-0.0906667
4.38267,-0.0906667
4.28667,-0.0906667
4.28667,0.096
4.19067,-0.0906667
4.28667,0.00533333
4.28667,0.064
4.38267,0.168
4.28667,-0.0906667
4.28667,-0.0906667
4.19067,0.096
4.28667,-0.0906667
4.28667,0.096
4.38267,-0.0906667
4.28667,0.096
4.28667,-0.0906667
4.19067,-0.0906667
4.28667,-0.0906667
4.28667,-0.0906667
4.38267,0.00533333
4.28667,0.064
4.28667,0.168
4.19067,-0.0906667
4.28667,-0.0906667
4.28667,-0.0906667
4.38267,0.096
4.28667,-0.0906667
4.28667,0.096
4.19067,-0.0906667
4.28667,-0.0906667
4.28667,-0.186667
4.38267,-0.0906667
4.28667,-0.0906667
4.28667,0.00533333
4.19067,-0.0906667
4.28667,-0.0906667
4.28667,0.00533333
4.38267,0.064
4.28667,0.168
4.28667,-0.0906667
4.19067,-0.0906667
4.28667,-0.0906667
4.28667,0.096
4.38267,-0.0906667
4.28667,-0.0906667
4.28667,0.00533333
4.19067,-0.0906667
4.28667,-0.0906667
4.28667,-0.0906667
4.38267,-0.0906667
4.28667,0.00533333
4.28667,0.064
1.48933,0.168
-0.608,-0.0906667
-0.0693333,-0.0906667
-0.258667,0.00533333
-0.0693333,-0.0906667
-0.258667,-0.0906667
-0.258667,-0.186667
-0.162667,-0.0906667
-0.258667,-0.0906667
-0.258667,0.00533333
-0.0693333,-0.0906667
-0.258667,-0.0906667
-0.258667,0.096
-0.0693333,-0.0906667
-0.258667,-0.0906667
-0.258667,0.096
-0.258667,-0.0906667
-0.258667,0.00533333
-0.162667,0.064
-0.101333,0.168
0.0906667,0.168
-0.258667,0.0693333
-0.258667,0.168
-0.258667,0.168
-0.258667,0.168
-0.0693333,0.0693333
-0.258667,0.168
-0.258667,-0.0906667
-0.0693333,-0.0906667
-0.258667,-0.0906667
-0.258667,0.096
0.281333,-0.0906667
-0.258667,-0.0906667
-0.258667,0.00533333
0.281333,-0.0906667
-0.0986667,-0.0906667
0.281333,0.096
-0.0986667,-0.0906667
0.0906667,-0.0906667
-0.0986667,0.00533333
0.0906667,0.064
-0.258667,0.168
-0.162667,-0.0906667
-0.101333,-0.0906667
0.0906667,-0.186667
-0.258667,-0.0906667
-0.258667,-0.0906667
-0.258667,0.00533333
-0.0693333,-0.0906667
-0.258667,-0.0906667
-0.162667,-0.186667
-0.101333,-0.0906667
0.0906667,-0.0906667
-0.258667,-0.0906667
-0.258667,0.096
-0.0693333,-0.0906667
-0.258667,0.168
0.0906667,0.168
0.0906667,0.168
0.186667,0.168
0.0906667,0.0693333
0.0906667,0.168
-0.00533333,-0.0906667
-0.0666667,-0.0906667
-0.258667,0.096
0.0906667,-0.0906667
0.281333,-0.0906667
0.0906667,0.096
-0.0986667,-0.0906667
0.281333,-0.0906667
-0.0986667,0.00533333
0.0906667,0.064
-0.0986667,0.168
0.0906667,0.168
-0.258667,0.0693333
-0.258667,0.168
-0.0693333,0.168
-0.258667,0.168
0.0906667,0.0693333
0.0906667,0.168
0.0906667,0.0693333
-0.00533333,0.168
-0.0666667,0.16
-0.258667,0.101333
-0.0693333,-0.0906667
-0.258667,-0.0906667
0.0906667,-0.0906667
0.0906667,0.00533333
-0.00533333,0.064
0.0906667,0.168
0.0906667,-0.0906667
-0.0986667,-0.0906667
0.0906667,-0.186667
-0.0986667,-0.0906667
0.281333,-0.0906667
-0.258667,0.00533333
-0.258667,-0.0906667
-0.162667,-0.0906667
-0.258667,-0.0906667
-0.258667,-0.0906667
0.0906667,0.096
0.281333,-0.0906667
-0.0986667,-0.0906667
0.0906667,0.00533333
-0.258667,-0.0906667
3.936,-0.0906667
4.28667,-0.186667
4.28667,-0.0906667
4.476,-0.0906667
4.28667,0.00533333
4.28667,-0.0906667
4.38267,-0.0906667
4.28667,-0.0906667
4.28667,-0.0906667
4.476,0.0693333
4.28667,0.0693333
3.74667,0.00533333
4.28667,0.064
4.636,0.168
4.636,0.168
4.096,0.0693333
4.28667,0.168
4.28667,0.16
4.38267,0.101333
4.28667,-0.0906667
4.28667,0.096
4.19067,-0.0906667
4.28667,-0.0906667
4.28667,-0.186667
4.38267,-0.0906667
